time,0_rod(payload_bars compound_7gilrq).X,0_rod(payload_bars compound_7gilrq).Y,0_rod(payload_bars compound_7gilrq).Z,0_rod(payload_bars compound_7gilrq).Euler1,0_rod(payload_bars compound_7gilrq).Euler2,0_rod(payload_bars compound_7gilrq).Euler3,0_rod(payload_bars compound_7gilrq).mass,1_rod(payload_bars compound_7gilrq).X,1_rod(payload_bars compound_7gilrq).Y,1_rod(payload_bars compound_7gilrq).Z,1_rod(payload_bars compound_7gilrq).Euler1,1_rod(payload_bars compound_7gilrq).Euler2,1_rod(payload_bars compound_7gilrq).Euler3,1_rod(payload_bars compound_7gilrq).mass,2_rod(payload_bars compound_7gilrq).X,2_rod(payload_bars compound_7gilrq).Y,2_rod(payload_bars compound_7gilrq).Z,2_rod(payload_bars compound_7gilrq).Euler1,2_rod(payload_bars compound_7gilrq).Euler2,2_rod(payload_bars compound_7gilrq).Euler3,2_rod(payload_bars compound_7gilrq).mass,3_rod(payload_bars compound_7gilrq).X,3_rod(payload_bars compound_7gilrq).Y,3_rod(payload_bars compound_7gilrq).Z,3_rod(payload_bars compound_7gilrq).Euler1,3_rod(payload_bars compound_7gilrq).Euler2,3_rod(payload_bars compound_7gilrq).Euler3,3_rod(payload_bars compound_7gilrq).mass,4_rod(sense_bar compound_7gilrq).X,4_rod(sense_bar compound_7gilrq).Y,4_rod(sense_bar compound_7gilrq).Z,4_rod(sense_bar compound_7gilrq).Euler1,4_rod(sense_bar compound_7gilrq).Euler2,4_rod(sense_bar compound_7gilrq).Euler3,4_rod(sense_bar compound_7gilrq).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,-0.000224684,49.4011,0.00846692,-0.000505112,0.000992299,0.000492036,0.24652,-0.000224684,49.4011,0.00846692,-0.000505112,0.000992299,0.000492036,0.24652,-0.000224684,49.4011,0.00846692,-0.000505112,0.000992299,0.000492036,0.24652,-0.000224684,49.4011,0.00846692,-0.000505112,0.000992299,0.000492036,0.24652,-0.000224684,49.4011,0.00846692,-0.000505112,0.000992299,0.000492036,0.24652,-0.729234,49.3836,0.0153195,0.00643022,0.0142887,-2.35191,0.0593527,0.754059,49.3791,0.011068,0.00534948,0.0130615,-2.35193,0.0593527,0.00841342,48.8591,-0.513458,0.0174529,0.00526677,-0.788932,0.0593527,0.0166263,49.9036,0.539798,0.0161053,0.00660389,-0.788975,0.0593527,0.0244125,48.859,0.539484,-1.57374,-0.00405338,-0.00300498,0.0593527,0.000538442,49.9038,-0.513054,-1.57386,-0.00258374,-0.00289119,0.0593527,
0.1212,-0.000178545,49.2862,0.00854401,0.000975322,-0.000693602,-4.36047e-05,0.24652,-0.000178545,49.2862,0.00854401,0.000975322,-0.000693602,-4.36047e-05,0.24652,-0.000178545,49.2862,0.00854401,0.000975322,-0.000693602,-4.36047e-05,0.24652,-0.000178545,49.2862,0.00854401,0.000975322,-0.000693602,-4.36047e-05,0.24652,-0.000178545,49.2862,0.00854401,0.000975322,-0.000693602,-4.36047e-05,0.24652,-0.729597,49.2687,0.0154852,0.00571355,0.013479,-2.35188,0.0593527,0.75424,49.2638,0.0107875,0.00508454,0.0130327,-2.35189,0.0593527,0.00832736,48.7439,-0.513669,0.0167923,0.0059417,-0.788913,0.0593527,0.0167284,49.7886,0.540018,0.013877,0.0088379,-0.788963,0.0593527,0.0244015,48.7436,0.539548,-1.57384,-0.00381789,-0.00319097,0.0593527,0.000523857,49.7888,-0.513332,-1.57402,-0.00219209,-0.00302108,0.0593527,
0.1313,-0.00022388,49.1612,0.00849959,0.000736206,-0.000659142,-0.000403275,0.24652,-0.00022388,49.1612,0.00849959,0.000736206,-0.000659142,-0.000403275,0.24652,-0.00022388,49.1612,0.00849959,0.000736206,-0.000659142,-0.000403275,0.24652,-0.00022388,49.1612,0.00849959,0.000736206,-0.000659142,-0.000403275,0.24652,-0.00022388,49.1612,0.00849959,0.000736206,-0.000659142,-0.000403275,0.24652,-0.729143,49.1435,0.0154746,0.00475391,0.0127352,-2.35186,0.0593527,0.753949,49.1388,0.0108731,0.00600794,0.0138278,-2.35184,0.0593527,0.00830955,48.6191,-0.513494,0.0143512,0.00838259,-0.788953,0.0593527,0.016732,49.6633,0.53979,0.0156446,0.00709765,-0.788906,0.0593527,0.0244215,48.6189,0.539348,-1.57384,-0.00129848,-0.00316025,0.0593527,0.000542673,49.6635,-0.51297,-1.57395,-0.00405692,-0.00304166,0.0593527,
0.1414,-0.000182996,49.0261,0.0085432,-0.000122723,0.000511826,-0.000171425,0.24652,-0.000182996,49.0261,0.0085432,-0.000122723,0.000511826,-0.000171425,0.24652,-0.000182996,49.0261,0.0085432,-0.000122723,0.000511826,-0.000171425,0.24652,-0.000182996,49.0261,0.0085432,-0.000122723,0.000511826,-0.000171425,0.24652,-0.000182996,49.0261,0.0085432,-0.000122723,0.000511826,-0.000171425,0.24652,-0.729411,49.0084,0.0153141,0.00565624,0.0134195,-2.35187,0.0593527,0.754111,49.0039,0.0109594,0.00617438,0.0140584,-2.35186,0.0593527,0.00835947,48.4839,-0.513589,0.0150079,0.00770151,-0.78891,0.0593527,0.0166389,49.5284,0.539919,0.0179277,0.00480382,-0.788952,0.0593527,0.0244078,48.4837,0.539429,-1.57377,-0.00172661,-0.00305568,0.0593527,0.000536337,49.5286,-0.513191,-1.57389,-0.00403192,-0.00292918,0.0593527,
0.1515,-0.000196163,48.881,0.00848489,-0.000611122,0.000831675,0.000238371,0.24652,-0.000196163,48.881,0.00848489,-0.000611122,0.000831675,0.000238371,0.24652,-0.000196163,48.881,0.00848489,-0.000611122,0.000831675,0.000238371,0.24652,-0.000196163,48.881,0.00848489,-0.000611122,0.000831675,0.000238371,0.24652,-0.000196163,48.881,0.00848489,-0.000611122,0.000831675,0.000238371,0.24652,-0.729499,48.8633,0.0153109,0.00636271,0.0142218,-2.3519,0.0593527,0.754183,48.8589,0.0110623,0.0054745,0.0132615,-2.35191,0.0593527,0.00841457,48.3387,-0.513606,0.017762,0.00498155,-0.788916,0.0593527,0.0166482,49.3834,0.53992,0.0168148,0.00592093,-0.788938,0.0593527,0.0244133,48.3386,0.539585,-1.5737,-0.00404708,-0.0030465,0.0593527,0.00053681,49.3837,-0.513189,-1.57387,-0.00253871,-0.00288591,0.0593527,
0.1616,-0.00020759,48.726,0.0084819,-0.000111337,0.00027973,0.000189831,0.24652,-0.00020759,48.726,0.0084819,-0.000111337,0.00027973,0.000189831,0.24652,-0.00020759,48.726,0.0084819,-0.000111337,0.00027973,0.000189831,0.24652,-0.00020759,48.726,0.0084819,-0.000111337,0.00027973,0.000189831,0.24652,-0.00020759,48.726,0.0084819,-0.000111337,0.00027973,0.000189831,0.24652,-0.729267,48.7083,0.0154001,0.00571932,0.0135189,-2.3519,0.0593527,0.754015,48.7038,0.010985,0.0051079,0.012943,-2.35191,0.0593527,0.00838067,48.1838,-0.513461,0.0174646,0.00528405,-0.788933,0.0593527,0.0166646,49.2283,0.539814,0.0145531,0.00817431,-0.788939,0.0593527,0.0244146,48.1837,0.539414,-1.57376,-0.00413154,-0.00307768,0.0593527,0.000536054,49.2284,-0.513056,-1.57389,-0.00237992,-0.00296036,0.0593527,
0.1717,-0.000183948,48.5609,0.00852431,0.000447426,-0.000142377,-0.000148521,0.24652,-0.000183948,48.5609,0.00852431,0.000447426,-0.000142377,-0.000148521,0.24652,-0.000183948,48.5609,0.00852431,0.000447426,-0.000142377,-0.000148521,0.24652,-0.000183948,48.5609,0.00852431,0.000447426,-0.000142377,-0.000148521,0.24652,-0.000183948,48.5609,0.00852431,0.000447426,-0.000142377,-0.000148521,0.24652,-0.729476,48.5433,0.01541,0.00495096,0.0127989,-2.35188,0.0593527,0.75415,48.5386,0.0108939,0.00577642,0.0136253,-2.35187,0.0593527,0.00833459,48.0187,-0.513625,0.0145518,0.00816517,-0.788925,0.0593527,0.0166955,49.0633,0.539938,0.0152651,0.00745746,-0.788954,0.0593527,0.0244091,48.0185,0.539502,-1.5738,-0.00174556,-0.00312561,0.0593527,0.000532307,49.0635,-0.513199,-1.57395,-0.00391725,-0.0029771,0.0593527,
0.1818,-0.000182747,48.3858,0.00850857,0.00021397,3.19032e-05,-0.000191581,0.24652,-0.000182747,48.3858,0.00850857,0.00021397,3.19032e-05,-0.000191581,0.24652,-0.000182747,48.3858,0.00850857,0.00021397,3.19032e-05,-0.000191581,0.24652,-0.000182747,48.3858,0.00850857,0.00021397,3.19032e-05,-0.000191581,0.24652,-0.000182747,48.3858,0.00850857,0.00021397,3.19032e-05,-0.000191581,0.24652,-0.729434,48.3682,0.0153993,0.00549728,0.0133631,-2.35187,0.0593527,0.754119,48.3636,0.0109311,0.00628214,0.0141093,-2.35186,0.0593527,0.00833851,47.8436,-0.513599,0.0144029,0.00831472,-0.788935,0.0593527,0.0166711,48.8881,0.53992,0.0174524,0.00528688,-0.788931,0.0593527,0.0244107,47.8434,0.539485,-1.57379,-0.00130412,-0.0031057,0.0593527,0.0005362,48.8884,-0.513152,-1.57392,-0.00413517,-0.00296858,0.0593527,
0.1919,-0.000197367,48.2007,0.00848858,-0.000290444,0.000489873,6.59179e-05,0.24652,-0.000197367,48.2007,0.00848858,-0.000290444,0.000489873,6.59179e-05,0.24652,-0.000197367,48.2007,0.00848858,-0.000290444,0.000489873,6.59179e-05,0.24652,-0.000197367,48.2007,0.00848858,-0.000290444,0.000489873,6.59179e-05,0.24652,-0.000197367,48.2007,0.00848858,-0.000290444,0.000489873,6.59179e-05,0.24652,-0.729369,48.1831,0.015365,0.00634063,0.0141494,-2.35188,0.0593527,0.75409,48.1786,0.0110038,0.00564603,0.0134784,-2.35189,0.0593527,0.00838606,47.6586,-0.513535,0.017387,0.00535486,-0.788923,0.0593527,0.0166461,48.7031,0.539882,0.0169834,0.00575513,-0.788928,0.0593527,0.0244115,47.6584,0.539473,-1.57375,-0.00370036,-0.00306497,0.0593527,0.000536664,48.7033,-0.513121,-1.57388,-0.00255324,-0.00293483,0.0593527,
0.202,-0.0001993,48.0056,0.00849438,-0.000319679,0.000581406,0.000159735,0.24652,-0.0001993,48.0056,0.00849438,-0.000319679,0.000581406,0.000159735,0.24652,-0.0001993,48.0056,0.00849438,-0.000319679,0.000581406,0.000159735,0.24652,-0.0001993,48.0056,0.00849438,-0.000319679,0.000581406,0.000159735,0.24652,-0.0001993,48.0056,0.00849438,-0.000319679,0.000581406,0.000159735,0.24652,-0.729419,47.988,0.015339,0.00584244,0.013671,-2.3519,0.0593527,0.754117,47.9835,0.0110151,0.00505206,0.0128709,-2.35191,0.0593527,0.00840007,47.4634,-0.513559,0.0179511,0.0047931,-0.788911,0.0593527,0.0166634,48.508,0.539887,0.0149139,0.00780825,-0.788953,0.0593527,0.0244126,47.4633,0.53951,-1.57373,-0.0043903,-0.00306189,0.0593527,0.000535245,48.5082,-0.513148,-1.57389,-0.00230052,-0.00291649,0.0593527,
0.2121,-0.000185518,47.8005,0.00850466,6.77362e-05,0.000178458,-2.35101e-05,0.24652,-0.000185518,47.8005,0.00850466,6.77362e-05,0.000178458,-2.35101e-05,0.24652,-0.000185518,47.8005,0.00850466,6.77362e-05,0.000178458,-2.35101e-05,0.24652,-0.000185518,47.8005,0.00850466,6.77362e-05,0.000178458,-2.35101e-05,0.24652,-0.000185518,47.8005,0.00850466,6.77362e-05,0.000178458,-2.35101e-05,0.24652,-0.729424,47.7829,0.0153827,0.00495625,0.0127916,-2.35189,0.0593527,0.754108,47.7783,0.0109563,0.0056179,0.0134499,-2.35188,0.0593527,0.00835398,47.2584,-0.513568,0.0150301,0.00769583,-0.788932,0.0593527,0.0166704,48.3029,0.5399,0.0152429,0.00748444,-0.788945,0.0593527,0.0244114,47.2582,0.539479,-1.57378,-0.00207765,-0.00309077,0.0593527,0.000533091,48.3031,-0.513149,-1.57391,-0.00386622,-0.00295623,0.0593527,
0.2222,-0.000185639,47.5854,0.00851324,0.000306522,-7.63406e-05,-0.000142717,0.24652,-0.000185639,47.5854,0.00851324,0.000306522,-7.63406e-05,-0.000142717,0.24652,-0.000185639,47.5854,0.00851324,0.000306522,-7.63406e-05,-0.000142717,0.24652,-0.000185639,47.5854,0.00851324,0.000306522,-7.63406e-05,-0.000142717,0.24652,-0.000185639,47.5854,0.00851324,0.000306522,-7.63406e-05,-0.000142717,0.24652,-0.729425,47.5678,0.0154086,0.0053936,0.0132502,-2.35188,0.0593527,0.75412,47.5632,0.0109151,0.00628735,0.0141312,-2.35186,0.0593527,0.00833334,47.0432,-0.51359,0.0140816,0.00863518,-0.78894,0.0593527,0.0166783,48.0878,0.539917,0.0172151,0.00552415,-0.788931,0.0593527,0.0244111,47.043,0.539477,-1.5738,-0.0011407,-0.00311585,0.0593527,0.000535856,48.088,-0.513161,-1.57393,-0.00421607,-0.00297743,0.0593527,
0.2323,-0.000186129,47.3603,0.00850974,0.000127141,0.000126171,-2.37354e-05,0.24652,-0.000186129,47.3603,0.00850974,0.000127141,0.000126171,-2.37354e-05,0.24652,-0.000186129,47.3603,0.00850974,0.000127141,0.000126171,-2.37354e-05,0.24652,-0.000186129,47.3603,0.00850974,0.000127141,0.000126171,-2.37354e-05,0.24652,-0.000186129,47.3603,0.00850974,0.000127141,0.000126171,-2.37354e-05,0.24652,-0.729423,47.3427,0.0153867,0.00631283,0.0141672,-2.35187,0.0593527,0.754107,47.3381,0.0109418,0.00580978,0.0136542,-2.35188,0.0593527,0.00835499,46.8181,-0.513573,0.016848,0.00588505,-0.788918,0.0593527,0.0166714,47.8627,0.539894,0.0169418,0.0057919,-0.788936,0.0593527,0.024409,46.8179,0.539479,-1.57378,-0.00334937,-0.00309861,0.0593527,0.000535763,47.8629,-0.513148,-1.57392,-0.00265168,-0.0029626,0.0593527,
0.2424,-0.000194194,47.1252,0.00849374,-0.000190616,0.000425511,9.90404e-05,0.24652,-0.000194194,47.1252,0.00849374,-0.000190616,0.000425511,9.90404e-05,0.24652,-0.000194194,47.1252,0.00849374,-0.000190616,0.000425511,9.90404e-05,0.24652,-0.000194194,47.1252,0.00849374,-0.000190616,0.000425511,9.90404e-05,0.24652,-0.000194194,47.1252,0.00849374,-0.000190616,0.000425511,9.90404e-05,0.24652,-0.729428,47.1076,0.0153619,0.00593527,0.0137698,-2.35189,0.0593527,0.754119,47.103,0.0109952,0.00507597,0.0129028,-2.3519,0.0593527,0.00838666,46.583,-0.513565,0.0180767,0.00467036,-0.788914,0.0593527,0.0166667,47.6276,0.539896,0.0150211,0.00770378,-0.788946,0.0593527,0.0244106,46.5828,0.539508,-1.57375,-0.00448419,-0.0030748,0.0593527,0.000533167,47.6278,-0.513149,-1.5739,-0.00221005,-0.00293371,0.0593527,
