time,0_rod(strut).X,0_rod(strut).Y,0_rod(strut).Z,0_rod(strut).Euler1,0_rod(strut).Euler2,0_rod(strut).Euler3,0_rod(strut).mass,1_rod(strut).X,1_rod(strut).Y,1_rod(strut).Z,1_rod(strut).Euler1,1_rod(strut).Euler2,1_rod(strut).Euler3,1_rod(strut).mass,2_rod(strut).X,2_rod(strut).Y,2_rod(strut).Z,2_rod(strut).Euler1,2_rod(strut).Euler2,2_rod(strut).Euler3,2_rod(strut).mass,3_rod(strut).X,3_rod(strut).Y,3_rod(strut).Z,3_rod(strut).Euler1,3_rod(strut).Euler2,3_rod(strut).Euler3,3_rod(strut).mass,4_rod(strut).X,4_rod(strut).Y,4_rod(strut).Z,4_rod(strut).Euler1,4_rod(strut).Euler2,4_rod(strut).Euler3,4_rod(strut).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(payload_bars compound_kie1qS).X,6_rod(payload_bars compound_kie1qS).Y,6_rod(payload_bars compound_kie1qS).Z,6_rod(payload_bars compound_kie1qS).Euler1,6_rod(payload_bars compound_kie1qS).Euler2,6_rod(payload_bars compound_kie1qS).Euler3,6_rod(payload_bars compound_kie1qS).mass,7_rod(payload_bars compound_kie1qS).X,7_rod(payload_bars compound_kie1qS).Y,7_rod(payload_bars compound_kie1qS).Z,7_rod(payload_bars compound_kie1qS).Euler1,7_rod(payload_bars compound_kie1qS).Euler2,7_rod(payload_bars compound_kie1qS).Euler3,7_rod(payload_bars compound_kie1qS).mass,8_rod(payload_bars compound_kie1qS).X,8_rod(payload_bars compound_kie1qS).Y,8_rod(payload_bars compound_kie1qS).Z,8_rod(payload_bars compound_kie1qS).Euler1,8_rod(payload_bars compound_kie1qS).Euler2,8_rod(payload_bars compound_kie1qS).Euler3,8_rod(payload_bars compound_kie1qS).mass,9_rod(payload_bars compound_kie1qS).X,9_rod(payload_bars compound_kie1qS).Y,9_rod(payload_bars compound_kie1qS).Z,9_rod(payload_bars compound_kie1qS).Euler1,9_rod(payload_bars compound_kie1qS).Euler2,9_rod(payload_bars compound_kie1qS).Euler3,9_rod(payload_bars compound_kie1qS).mass,10_rod(payload_bars compound_kie1qS).X,10_rod(payload_bars compound_kie1qS).Y,10_rod(payload_bars compound_kie1qS).Z,10_rod(payload_bars compound_kie1qS).Euler1,10_rod(payload_bars compound_kie1qS).Euler2,10_rod(payload_bars compound_kie1qS).Euler3,10_rod(payload_bars compound_kie1qS).mass,
0.1111,-4.38236,98.8067,-0.55664,-0.000273393,0.00822825,-2.3504,0.199491,3.36167,98.7921,-0.602834,-0.00507032,-0.00421757,-2.35807,0.199491,0.465376,98.0305,-0.79957,-0.00332126,0.000236201,-0.781693,0.199491,0.84208,100.409,1.95427,0.000237851,-0.00511246,-0.794146,0.199491,0.743659,98.4227,1.88108,-1.57259,-0.0074935,-0.00651275,0.199645,-0.293684,101.069,-1.09643,-1.57033,0.00135974,-0.00258141,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1212,-4.37664,98.6908,-0.556586,-0.00116262,0.00831856,-2.34976,0.199491,3.3586,98.6785,-0.604145,-0.00567079,-0.0047917,-2.35827,0.199491,0.464937,97.9164,-0.798247,-0.00343986,4.51282e-06,-0.781276,0.199491,0.841527,100.293,1.95145,-0.000121118,-0.00532206,-0.79514,0.199491,0.740048,98.3071,1.88053,-1.57215,-0.00885276,-0.00658752,0.199645,-0.291916,100.952,-1.09412,-1.57029,0.00255683,-0.00286554,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1313,-4.37093,98.5649,-0.556535,-0.00205505,0.0084069,-2.34913,0.199491,3.35552,98.5549,-0.605456,-0.00627102,-0.00536607,-2.35848,0.199491,0.464498,97.7924,-0.796924,-0.00355859,-0.000227149,-0.780858,0.199491,0.840974,100.168,1.94864,-0.000479955,-0.0055321,-0.796134,0.199491,0.736437,98.1815,1.87998,-1.57171,-0.0102072,-0.00666369,0.199645,-0.290147,100.825,-1.09181,-1.57025,0.00375394,-0.00314968,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1414,-4.36521,98.429,-0.556485,-0.00295031,0.00849359,-2.34848,0.199491,3.35245,98.4213,-0.606766,-0.00687102,-0.00594069,-2.35869,0.199491,0.464059,97.6583,-0.795602,-0.00367746,-0.00045896,-0.780441,0.199491,0.840421,100.033,1.94582,-0.00083866,-0.00574258,-0.797128,0.199491,0.732826,98.0458,1.87943,-1.57127,-0.0115575,-0.00674093,0.199645,-0.288378,100.688,-1.0895,-1.57021,0.00495106,-0.00343382,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1515,-4.3595,98.283,-0.556439,-0.00385191,0.0085753,-2.34784,0.199491,3.34938,98.2776,-0.608077,-0.00747077,-0.00651555,-2.35889,0.199491,0.46361,97.5143,-0.79428,-0.00379748,-0.000698039,-0.780026,0.199491,0.839868,99.8876,1.94301,-0.00119723,-0.00595348,-0.798121,0.199491,0.729225,97.9002,1.87888,-1.57083,-0.0128991,-0.00682159,0.199645,-0.28661,100.541,-1.08719,-1.57017,0.00614818,-0.00371797,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1616,-4.35378,98.127,-0.556396,-0.00475728,0.00865446,-2.34719,0.199491,3.3463,98.124,-0.609387,-0.00807028,-0.00709066,-2.3591,0.199491,0.46316,97.3602,-0.79296,-0.00391775,-0.000937965,-0.779611,0.199491,0.839315,99.7324,1.94019,-0.00155567,-0.00616482,-0.799115,0.199491,0.725625,97.7446,1.87834,-1.5704,-0.0142354,-0.00690367,0.199645,-0.284841,100.385,-1.08488,-1.57013,0.00734532,-0.00400213,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1717,-4.34807,97.961,-0.556355,-0.00566739,0.00873016,-2.34655,0.199491,3.34323,97.9603,-0.610698,-0.00866956,-0.00766602,-2.3593,0.199491,0.462707,97.1962,-0.791639,-0.00403837,-0.00117997,-0.779198,0.199491,0.838762,99.5671,1.93737,-0.00191397,-0.0063766,-0.800108,0.199491,0.722028,97.579,1.8778,-1.56998,-0.0155651,-0.00698755,0.199645,-0.283072,100.218,-1.08257,-1.57009,0.00854247,-0.00428631,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1818,-4.34235,97.785,-0.556316,-0.00658245,0.00880217,-2.3459,0.199491,3.34015,97.7867,-0.612009,-0.00926859,-0.00824162,-2.3595,0.199491,0.462251,97.0221,-0.790319,-0.00415935,-0.0014242,-0.778785,0.199491,0.838209,99.3918,1.93456,-0.00227214,-0.00658881,-0.801102,0.199491,0.718433,97.4034,1.87726,-1.56955,-0.0168877,-0.00707325,0.199645,-0.281304,100.041,-1.08026,-1.57006,0.00973962,-0.00457049,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.1919,-4.33664,97.599,-0.556281,-0.00750375,0.00886925,-2.34524,0.199491,3.33708,97.603,-0.613319,-0.00986739,-0.00881746,-2.35971,0.199491,0.461781,96.838,-0.788995,-0.00427526,-0.00167113,-0.778372,0.199491,0.837656,99.2066,1.93174,-0.00263018,-0.00680145,-0.802095,0.199491,0.714844,97.2177,1.87673,-1.56913,-0.0182014,-0.00716141,0.199645,-0.279526,99.8542,-1.07796,-1.57002,0.0109387,-0.00485166,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.202,-4.33092,97.4029,-0.55625,-0.00843055,0.00893437,-2.34459,0.199491,3.33401,97.4093,-0.61463,-0.010466,-0.00939355,-2.35991,0.199491,0.461305,96.6439,-0.787671,-0.00438994,-0.00192016,-0.777959,0.199491,0.8371,99.0113,1.92893,-0.002988,-0.00701239,-0.803087,0.199491,0.711259,97.0221,1.8762,-1.56871,-0.019507,-0.00725153,0.199645,-0.277746,99.6574,-1.07566,-1.56999,0.0121383,-0.005132,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2121,-4.32518,97.1969,-0.55624,-0.0093654,0.0090082,-2.34394,0.199491,3.33093,97.2056,-0.61594,-0.0110643,-0.00996988,-2.36012,0.199491,0.460823,96.4398,-0.786347,-0.00450512,-0.00217348,-0.777548,0.199491,0.836527,98.806,1.92613,-0.00334516,-0.00720903,-0.804075,0.199491,0.707679,96.8165,1.87568,-1.5683,-0.0207981,-0.00734489,0.199645,-0.275966,99.4505,-1.07335,-1.56995,0.013338,-0.00541241,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2222,-4.31945,96.9808,-0.556233,-0.0103055,0.00907804,-2.34329,0.199491,3.32786,96.9919,-0.617251,-0.0116624,-0.0105465,-2.36032,0.199491,0.46034,96.2258,-0.785012,-0.00462294,-0.00242716,-0.777133,0.199491,0.835953,98.5907,1.92333,-0.0037022,-0.00740612,-0.805062,0.199491,0.704101,96.6009,1.87516,-1.56789,-0.0220819,-0.00743982,0.199645,-0.274187,99.2337,-1.07106,-1.56992,0.014543,-0.00569432,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2323,-4.31371,96.7547,-0.556231,-0.0112528,0.00914163,-2.34264,0.199491,3.32478,96.7682,-0.618562,-0.0122602,-0.0111233,-2.36052,0.199491,0.459848,96.0017,-0.783668,-0.00474045,-0.00268458,-0.776716,0.199491,0.835379,98.3654,1.92054,-0.00405914,-0.00760364,-0.80605,0.199491,0.70053,96.3752,1.87464,-1.56748,-0.0233537,-0.00753746,0.199645,-0.272405,99.0068,-1.06878,-1.56988,0.0157506,-0.00597702,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2424,-4.30798,96.5186,-0.556252,-0.012195,0.0092071,-2.342,0.199491,3.32171,96.5345,-0.619872,-0.0128578,-0.0117003,-2.36072,0.199491,0.459344,95.7676,-0.782321,-0.00485327,-0.00294384,-0.776299,0.199491,0.834805,98.1301,1.91774,-0.00441596,-0.00780161,-0.807037,0.199491,0.696964,96.1396,1.87413,-1.56707,-0.0246153,-0.00763719,0.199645,-0.27061,98.77,-1.06648,-1.56986,0.0169463,-0.00626948,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2525,-4.30225,96.2725,-0.556277,-0.0131441,0.0092677,-2.34135,0.199491,3.31864,96.2908,-0.621183,-0.0134552,-0.0122776,-2.36093,0.199491,0.458834,95.5235,-0.780974,-0.00496492,-0.00320592,-0.775883,0.199491,0.834231,97.8848,1.91495,-0.00477271,-0.00799908,-0.808024,0.199491,0.693401,95.894,1.87362,-1.56667,-0.0258662,-0.00773905,0.199645,-0.268812,98.5231,-1.06418,-1.56983,0.0181422,-0.00656156,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2626,-4.29652,96.0164,-0.556311,-0.0141002,0.00932779,-2.3407,0.199491,3.31556,96.0371,-0.622493,-0.0140524,-0.0128552,-2.36113,0.199491,0.458321,95.2694,-0.779626,-0.00507704,-0.00347054,-0.775468,0.199491,0.83365,97.6294,1.91216,-0.00512962,-0.00819159,-0.809009,0.199491,0.689842,95.6383,1.87311,-1.56628,-0.0271047,-0.00784311,0.199645,-0.267015,98.2663,-1.06188,-1.5698,0.0193384,-0.00685382,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2727,-4.29078,95.7502,-0.55635,-0.0150638,0.00938317,-2.34005,0.199491,3.31249,95.7734,-0.623804,-0.0146493,-0.013433,-2.36133,0.199491,0.457801,95.0052,-0.778272,-0.00518917,-0.00373706,-0.775051,0.199491,0.833067,97.3641,1.90937,-0.00548655,-0.00838303,-0.809993,0.199491,0.686288,95.3727,1.87261,-1.56588,-0.0283318,-0.00794927,0.199645,-0.265215,97.9994,-1.05959,-1.56978,0.0205378,-0.00714594,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2828,-4.28504,95.474,-0.556394,-0.0160354,0.0094343,-2.3394,0.199491,3.30941,95.4997,-0.625115,-0.0152459,-0.014011,-2.36153,0.199491,0.457277,94.7311,-0.776916,-0.00530109,-0.00400626,-0.774634,0.199491,0.832482,97.0887,1.90658,-0.00584357,-0.00857238,-0.810977,0.199491,0.682737,95.0971,1.87211,-1.56549,-0.0295462,-0.00805763,0.199645,-0.263415,97.7225,-1.0573,-1.56975,0.0217383,-0.00743788,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.2929,-4.2793,95.1878,-0.556445,-0.0170137,0.00948182,-2.33875,0.199491,3.30634,95.2159,-0.626425,-0.0158424,-0.0145893,-2.36173,0.199491,0.456748,94.447,-0.775559,-0.00541221,-0.00427793,-0.774217,0.199491,0.831894,96.8034,1.9038,-0.00620072,-0.00875987,-0.81196,0.199491,0.67919,94.8114,1.87162,-1.5651,-0.0307482,-0.00816805,0.199645,-0.261612,97.4356,-1.05501,-1.56973,0.0229382,-0.00773025,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.303,-4.27356,94.8916,-0.556451,-0.0181008,0.00942662,-2.33811,0.199491,3.30327,94.9222,-0.627736,-0.0164386,-0.0151678,-2.36193,0.199491,0.456203,94.1529,-0.774197,-0.00552048,-0.0045563,-0.773801,0.199491,0.831301,96.508,1.90102,-0.00655837,-0.0089428,-0.812942,0.199491,0.675655,94.5158,1.87106,-1.56472,-0.0317989,-0.00824071,0.199645,-0.2598,97.1387,-1.05271,-1.56971,0.02413,-0.00802979,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.3131,-4.26781,94.5853,-0.5564,-0.0194967,0.00908749,-2.33746,0.199491,3.30019,94.6184,-0.629046,-0.0170346,-0.0157466,-2.36213,0.199491,0.455543,93.8488,-0.772809,-0.00560671,-0.00489124,-0.773392,0.199491,0.830682,96.2026,1.89827,-0.00691895,-0.0091021,-0.813916,0.199491,0.672205,94.2102,1.8704,-1.56438,-0.032396,-0.00825221,0.199645,-0.25794,96.8319,-1.05042,-1.5697,0.0253104,-0.00833915,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.3232,-4.26206,94.2689,-0.55635,-0.020912,0.00873209,-2.33681,0.199491,3.29712,94.3046,-0.630357,-0.0176303,-0.0163256,-2.36233,0.199491,0.454868,93.5347,-0.771396,-0.00569631,-0.00522882,-0.772976,0.199491,0.830061,95.8873,1.89551,-0.00727968,-0.00926021,-0.81489,0.199491,0.668766,93.8946,1.86973,-1.56405,-0.0329608,-0.00826142,0.199645,-0.256074,96.515,-1.04815,-1.56969,0.0264985,-0.00865254,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.3333,-4.25631,93.9425,-0.5563,-0.022328,0.0083782,-2.33617,0.199491,3.29404,93.9809,-0.631668,-0.0182258,-0.0169048,-2.36253,0.199491,0.454193,93.2106,-0.769983,-0.00578606,-0.00556644,-0.77256,0.199491,0.829441,95.5619,1.89276,-0.00764037,-0.00941878,-0.815864,0.199491,0.665328,93.5691,1.86907,-1.56371,-0.0335256,-0.00827063,0.199645,-0.254208,96.1881,-1.04588,-1.56968,0.0276865,-0.00896594,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.3434,-4.25057,93.6061,-0.556273,-0.0237245,0.00804031,-2.33553,0.199491,3.29099,93.6471,-0.633038,-0.018866,-0.017511,-2.36275,0.199491,0.453518,92.8766,-0.76857,-0.005876,-0.00590407,-0.772144,0.199491,0.82882,95.2265,1.89001,-0.00800101,-0.00957781,-0.816838,0.199491,0.661889,93.2335,1.8684,-1.56337,-0.0340904,-0.00827984,0.199645,-0.252358,95.8512,-1.04352,-1.56967,0.0287509,-0.00925671,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
0.3535,-4.24429,93.2561,-0.55835,-0.0278577,0.00553134,-2.33431,0.199491,3.25945,93.316,-0.654324,-0.384803,-0.380688,-2.29483,0.199491,0.458815,92.5237,-0.768779,-0.00928385,-0.00232239,-0.775304,0.199491,0.83198,94.8924,1.88117,-0.0011563,-0.0133939,-0.820533,0.199491,0.646603,92.9048,1.87266,-1.55671,-0.0195474,-0.00820277,0.199645,-0.249318,95.505,-1.04251,-1.56959,0.0282282,-0.00924643,0.199491,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,
