time,0_rod(payload_bars compound_YMSwew).X,0_rod(payload_bars compound_YMSwew).Y,0_rod(payload_bars compound_YMSwew).Z,0_rod(payload_bars compound_YMSwew).Euler1,0_rod(payload_bars compound_YMSwew).Euler2,0_rod(payload_bars compound_YMSwew).Euler3,0_rod(payload_bars compound_YMSwew).mass,1_rod(payload_bars compound_YMSwew).X,1_rod(payload_bars compound_YMSwew).Y,1_rod(payload_bars compound_YMSwew).Z,1_rod(payload_bars compound_YMSwew).Euler1,1_rod(payload_bars compound_YMSwew).Euler2,1_rod(payload_bars compound_YMSwew).Euler3,1_rod(payload_bars compound_YMSwew).mass,2_rod(payload_bars compound_YMSwew).X,2_rod(payload_bars compound_YMSwew).Y,2_rod(payload_bars compound_YMSwew).Z,2_rod(payload_bars compound_YMSwew).Euler1,2_rod(payload_bars compound_YMSwew).Euler2,2_rod(payload_bars compound_YMSwew).Euler3,2_rod(payload_bars compound_YMSwew).mass,3_rod(payload_bars compound_YMSwew).X,3_rod(payload_bars compound_YMSwew).Y,3_rod(payload_bars compound_YMSwew).Z,3_rod(payload_bars compound_YMSwew).Euler1,3_rod(payload_bars compound_YMSwew).Euler2,3_rod(payload_bars compound_YMSwew).Euler3,3_rod(payload_bars compound_YMSwew).mass,4_rod(sense_bar compound_YMSwew).X,4_rod(sense_bar compound_YMSwew).Y,4_rod(sense_bar compound_YMSwew).Z,4_rod(sense_bar compound_YMSwew).Euler1,4_rod(sense_bar compound_YMSwew).Euler2,4_rod(sense_bar compound_YMSwew).Euler3,4_rod(sense_bar compound_YMSwew).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,9.38009e-06,49.4012,0.00849168,-0.000128802,-0.000228539,-2.4591e-05,0.24652,9.38009e-06,49.4012,0.00849168,-0.000128802,-0.000228539,-2.4591e-05,0.24652,9.38009e-06,49.4012,0.00849168,-0.000128802,-0.000228539,-2.4591e-05,0.24652,9.38009e-06,49.4012,0.00849168,-0.000128802,-0.000228539,-2.4591e-05,0.24652,9.38009e-06,49.4012,0.00849168,-0.000128802,-0.000228539,-2.4591e-05,0.24652,-0.729596,49.3836,0.0154163,0.00544314,0.0133016,-2.35188,0.0593527,0.754232,49.379,0.0109235,0.00494033,0.0127735,-2.35189,0.0593527,0.00813884,48.8589,-0.513669,0.0170023,0.00579712,-0.78891,0.0593527,0.0164611,49.9036,0.539999,0.0152541,0.00753324,-0.788951,0.0593527,0.0242848,48.8587,0.539654,-1.57384,-0.00264815,-0.00304512,0.0593527,0.000322236,49.9039,-0.513268,-1.57382,-0.00399184,-0.00306472,0.0593527,
0.1212,-1.87545e-06,49.2862,0.00848978,-0.00087532,-0.00121008,-0.000241587,0.24652,-1.87545e-06,49.2862,0.00848978,-0.00087532,-0.00121008,-0.000241587,0.24652,-1.87545e-06,49.2862,0.00848978,-0.00087532,-0.00121008,-0.000241587,0.24652,-1.87545e-06,49.2862,0.00848978,-0.00087532,-0.00121008,-0.000241587,0.24652,-1.87545e-06,49.2862,0.00848978,-0.00087532,-0.00121008,-0.000241587,0.24652,-0.729473,49.2685,0.0154877,0.00656312,0.0143822,-2.35185,0.0593527,0.754093,49.264,0.0108878,0.00619359,0.0140465,-2.35186,0.0593527,0.00815678,48.744,-0.513581,0.016609,0.00634284,-0.78894,0.0593527,0.0164897,49.7885,0.539938,0.0155118,0.00743233,-0.788917,0.0593527,0.0244665,48.7437,0.539518,-1.57383,-0.00229645,-0.00308408,0.0593527,0.000156834,49.7888,-0.513188,-1.57384,-0.00329939,-0.00307053,0.0593527,
0.1313,6.48083e-06,49.1611,0.00849092,-0.000175373,-0.000132368,-4.72524e-05,0.24652,6.48083e-06,49.1611,0.00849092,-0.000175373,-0.000132368,-4.72524e-05,0.24652,6.48083e-06,49.1611,0.00849092,-0.000175373,-0.000132368,-4.72524e-05,0.24652,6.48083e-06,49.1611,0.00849092,-0.000175373,-0.000132368,-4.72524e-05,0.24652,6.48083e-06,49.1611,0.00849092,-0.000175373,-0.000132368,-4.72524e-05,0.24652,-0.729608,49.1435,0.0154084,0.00628948,0.014134,-2.35187,0.0593527,0.754245,49.1389,0.0109288,0.00677515,0.0145951,-2.35187,0.0593527,0.00814091,48.6188,-0.513679,0.015015,0.00775697,-0.788929,0.0593527,0.0164573,49.6636,0.540011,0.0169833,0.00580271,-0.788939,0.0593527,0.024287,48.6186,0.539664,-1.57383,-0.00324287,-0.00303843,0.0593527,0.000333078,49.6638,-0.513275,-1.57383,-0.00179232,-0.00304771,0.0593527,
0.1414,2.42645e-06,49.0261,0.00848794,0.000695948,0.00096278,0.000173793,0.24652,2.42645e-06,49.0261,0.00848794,0.000695948,0.00096278,0.000173793,0.24652,2.42645e-06,49.0261,0.00848794,0.000695948,0.00096278,0.000173793,0.24652,2.42645e-06,49.0261,0.00848794,0.000695948,0.00096278,0.000173793,0.24652,2.42645e-06,49.0261,0.00848794,0.000695948,0.00096278,0.000173793,0.24652,-0.729516,49.0084,0.0153596,0.00473793,0.0125825,-2.35191,0.0593527,0.754147,49.0039,0.0109976,0.0052883,0.0131346,-2.35191,0.0593527,0.0081569,48.4838,-0.513587,0.0152493,0.00734779,-0.788945,0.0593527,0.0164604,49.5285,0.539932,0.0170015,0.00560738,-0.788924,0.0593527,0.024084,48.4836,0.539597,-1.57382,-0.00393045,-0.00302822,0.0593527,0.000539681,49.5287,-0.513228,-1.57383,-0.00239075,-0.00302304,0.0593527,
0.1515,1.16408e-06,48.881,0.00849102,0.000379962,0.000371463,6.56027e-05,0.24652,1.16408e-06,48.881,0.00849102,0.000379962,0.000371463,6.56027e-05,0.24652,1.16408e-06,48.881,0.00849102,0.000379962,0.000371463,6.56027e-05,0.24652,1.16408e-06,48.881,0.00849102,0.000379962,0.000371463,6.56027e-05,0.24652,1.16408e-06,48.881,0.00849102,0.000379962,0.000371463,6.56027e-05,0.24652,-0.729582,48.8634,0.0153932,0.00458826,0.0124395,-2.3519,0.0593527,0.754208,48.8588,0.0109578,0.00421116,0.0120655,-2.35191,0.0593527,0.00815709,48.3387,-0.513644,0.0169156,0.00578327,-0.788923,0.0593527,0.0164739,49.3835,0.539985,0.0154709,0.00721765,-0.788939,0.0593527,0.024178,48.3385,0.539638,-1.57383,-0.00313544,-0.00304696,0.0593527,0.000441461,49.3837,-0.513272,-1.57383,-0.00415937,-0.00304582,0.0593527,
0.1616,-7.73109e-07,48.726,0.00848844,-0.000416355,-0.000625176,-0.000127208,0.24652,-7.73109e-07,48.726,0.00848844,-0.000416355,-0.000625176,-0.000127208,0.24652,-7.73109e-07,48.726,0.00848844,-0.000416355,-0.000625176,-0.000127208,0.24652,-7.73109e-07,48.726,0.00848844,-0.000416355,-0.000625176,-0.000127208,0.24652,-7.73109e-07,48.726,0.00848844,-0.000416355,-0.000625176,-0.000127208,0.24652,-0.72953,48.7083,0.0154477,0.00629598,0.0141324,-2.35186,0.0593527,0.754161,48.7038,0.0109106,0.00581366,0.0136534,-2.35187,0.0593527,0.0081521,48.1837,-0.513623,0.0167396,0.00611765,-0.788925,0.0593527,0.0164797,49.2283,0.539966,0.0152845,0.00756263,-0.788936,0.0593527,0.0243647,48.1835,0.539595,-1.57384,-0.00230368,-0.00306036,0.0593527,0.000258247,49.2286,-0.513227,-1.57383,-0.0035979,-0.00306231,0.0593527,
0.1717,2.04724e-06,48.5609,0.0084884,-0.000407076,-0.000422071,-8.92992e-05,0.24652,2.04724e-06,48.5609,0.0084884,-0.000407076,-0.000422071,-8.92992e-05,0.24652,2.04724e-06,48.5609,0.0084884,-0.000407076,-0.000422071,-8.92992e-05,0.24652,2.04724e-06,48.5609,0.0084884,-0.000407076,-0.000422071,-8.92992e-05,0.24652,2.04724e-06,48.5609,0.0084884,-0.000407076,-0.000422071,-8.92992e-05,0.24652,-0.72955,48.5432,0.0154304,0.00691823,0.0147448,-2.35186,0.0593527,0.754186,48.5387,0.010924,0.00732805,0.015155,-2.35186,0.0593527,0.00814645,48.0186,-0.513634,0.0150668,0.00775148,-0.788941,0.0593527,0.0164655,49.0633,0.539978,0.0167825,0.00604788,-0.788927,0.0593527,0.0243418,48.0184,0.539612,-1.57383,-0.00287761,-0.00304547,0.0593527,0.000284024,49.0635,-0.513241,-1.57383,-0.00166607,-0.00304866,0.0593527,
0.1818,4.53379e-06,48.3858,0.00848962,0.00024906,0.00041245,6.89269e-05,0.24652,4.53379e-06,48.3858,0.00848962,0.00024906,0.00041245,6.89269e-05,0.24652,4.53379e-06,48.3858,0.00848962,0.00024906,0.00041245,6.89269e-05,0.24652,4.53379e-06,48.3858,0.00848962,0.00024906,0.00041245,6.89269e-05,0.24652,4.53379e-06,48.3858,0.00848962,0.00024906,0.00041245,6.89269e-05,0.24652,-0.729551,48.3682,0.0153821,0.0051984,0.0130462,-2.3519,0.0593527,0.754185,48.3636,0.0109641,0.00579967,0.0136353,-2.35189,0.0593527,0.00814907,47.8435,-0.513625,0.0151342,0.00755357,-0.788937,0.0593527,0.0164578,48.8882,0.539963,0.0171622,0.00553965,-0.788931,0.0593527,0.0241878,47.8433,0.539624,-1.57383,-0.00380004,-0.00303423,0.0593527,0.000434433,48.8885,-0.513245,-1.57383,-0.00209118,-0.00303621,0.0593527,
0.1919,6.17011e-07,48.2008,0.0084895,0.000440295,0.000469896,7.79231e-05,0.24652,6.17011e-07,48.2008,0.0084895,0.000440295,0.000469896,7.79231e-05,0.24652,6.17011e-07,48.2008,0.0084895,0.000440295,0.000469896,7.79231e-05,0.24652,6.17011e-07,48.2008,0.0084895,0.000440295,0.000469896,7.79231e-05,0.24652,6.17011e-07,48.2008,0.0084895,0.000440295,0.000469896,7.79231e-05,0.24652,-0.729555,48.1831,0.0153894,0.00415355,0.0120068,-2.35191,0.0593527,0.754182,48.1785,0.0109673,0.0038976,0.0117569,-2.35191,0.0593527,0.00815889,47.6585,-0.513624,0.0168276,0.00585813,-0.788927,0.0593527,0.0164731,48.7032,0.539967,0.0157066,0.00697102,-0.788933,0.0593527,0.0241646,47.6582,0.539619,-1.57383,-0.00343661,-0.00304667,0.0593527,0.000456247,48.7034,-0.513255,-1.57383,-0.00415473,-0.00304348,0.0593527,
0.202,-4.36975e-07,48.0057,0.00848989,-3.90375e-05,-0.00016318,-4.15545e-05,0.24652,-4.36975e-07,48.0057,0.00848989,-3.90375e-05,-0.00016318,-4.15545e-05,0.24652,-4.36975e-07,48.0057,0.00848989,-3.90375e-05,-0.00016318,-4.15545e-05,0.24652,-4.36975e-07,48.0057,0.00848989,-3.90375e-05,-0.00016318,-4.15545e-05,0.24652,-4.36975e-07,48.0057,0.00848989,-3.90375e-05,-0.00016318,-4.15545e-05,0.24652,-0.729551,47.988,0.0154235,0.0057696,0.0136096,-2.35188,0.0593527,0.754179,47.9834,0.0109319,0.00522179,0.0130671,-2.35189,0.0593527,0.00815537,47.4634,-0.513631,0.0168768,0.00590527,-0.788924,0.0593527,0.016479,48.508,0.539973,0.0151463,0.00762362,-0.788939,0.0593527,0.024277,47.4631,0.539611,-1.57384,-0.0024662,-0.00305395,0.0593527,0.000344477,48.5083,-0.513246,-1.57383,-0.00392568,-0.00305369,0.0593527,
0.2121,2.13222e-06,47.8006,0.00848829,-0.000341616,-0.000378988,-7.88085e-05,0.24652,2.13222e-06,47.8006,0.00848829,-0.000341616,-0.000378988,-7.88085e-05,0.24652,2.13222e-06,47.8006,0.00848829,-0.000341616,-0.000378988,-7.88085e-05,0.24652,2.13222e-06,47.8006,0.00848829,-0.000341616,-0.000378988,-7.88085e-05,0.24652,2.13222e-06,47.8006,0.00848829,-0.000341616,-0.000378988,-7.88085e-05,0.24652,-0.729543,47.7829,0.0154299,0.00715124,0.0149775,-2.35186,0.0593527,0.754178,47.7784,0.0109243,0.00744613,0.0152701,-2.35185,0.0593527,0.00814632,47.2583,-0.513629,0.0151684,0.00763909,-0.78894,0.0593527,0.0164669,48.3029,0.539972,0.0165425,0.00627475,-0.78893,0.0593527,0.0243281,47.258,0.539608,-1.57384,-0.00265808,-0.00304508,0.0593527,0.000296799,48.3032,-0.513236,-1.57383,-0.00175452,-0.00304834,0.0593527,
0.2222,3.81665e-06,47.5855,0.00848903,-4.07823e-05,5.25618e-05,2.19273e-06,0.24652,3.81665e-06,47.5855,0.00848903,-4.07823e-05,5.25618e-05,2.19273e-06,0.24652,3.81665e-06,47.5855,0.00848903,-4.07823e-05,5.25618e-05,2.19273e-06,0.24652,3.81665e-06,47.5855,0.00848903,-4.07823e-05,5.25618e-05,2.19273e-06,0.24652,3.81665e-06,47.5855,0.00848903,-4.07823e-05,5.25618e-05,2.19273e-06,0.24652,-0.72955,47.5678,0.0154018,0.00573511,0.0135761,-2.35189,0.0593527,0.754185,47.5632,0.010947,0.00639115,0.014224,-2.35188,0.0593527,0.00814712,47.0432,-0.513628,0.0149942,0.00775059,-0.788939,0.0593527,0.0164594,48.0878,0.539969,0.0172641,0.00549667,-0.788928,0.0593527,0.0242554,47.0429,0.539619,-1.57383,-0.00362373,-0.00303936,0.0593527,0.000368839,48.0881,-0.513242,-1.57383,-0.0017716,-0.00304211,0.0593527,
0.2323,1.32893e-06,47.3603,0.00848955,0.000300967,0.000342908,5.38634e-05,0.24652,1.32893e-06,47.3603,0.00848955,0.000300967,0.000342908,5.38634e-05,0.24652,1.32893e-06,47.3603,0.00848955,0.000300967,0.000342908,5.38634e-05,0.24652,1.32893e-06,47.3603,0.00848955,0.000300967,0.000342908,5.38634e-05,0.24652,1.32893e-06,47.3603,0.00848955,0.000300967,0.000342908,5.38634e-05,0.24652,-0.729554,47.3427,0.0153923,0.00408815,0.0119442,-2.35191,0.0593527,0.754182,47.3381,0.0109618,0.00394614,0.0118031,-2.35191,0.0593527,0.00815707,46.8181,-0.513626,0.0167042,0.00600603,-0.788926,0.0593527,0.0164703,47.8627,0.539968,0.0159494,0.00675537,-0.788932,0.0593527,0.0241936,46.8178,0.539619,-1.57383,-0.00358446,-0.00304694,0.0593527,0.000427148,47.863,-0.513251,-1.57383,-0.00399602,-0.00304579,0.0593527,
