time,0_rod(payload_bars compound_j8RNsn).X,0_rod(payload_bars compound_j8RNsn).Y,0_rod(payload_bars compound_j8RNsn).Z,0_rod(payload_bars compound_j8RNsn).Euler1,0_rod(payload_bars compound_j8RNsn).Euler2,0_rod(payload_bars compound_j8RNsn).Euler3,0_rod(payload_bars compound_j8RNsn).mass,1_rod(payload_bars compound_j8RNsn).X,1_rod(payload_bars compound_j8RNsn).Y,1_rod(payload_bars compound_j8RNsn).Z,1_rod(payload_bars compound_j8RNsn).Euler1,1_rod(payload_bars compound_j8RNsn).Euler2,1_rod(payload_bars compound_j8RNsn).Euler3,1_rod(payload_bars compound_j8RNsn).mass,2_rod(payload_bars compound_j8RNsn).X,2_rod(payload_bars compound_j8RNsn).Y,2_rod(payload_bars compound_j8RNsn).Z,2_rod(payload_bars compound_j8RNsn).Euler1,2_rod(payload_bars compound_j8RNsn).Euler2,2_rod(payload_bars compound_j8RNsn).Euler3,2_rod(payload_bars compound_j8RNsn).mass,3_rod(payload_bars compound_j8RNsn).X,3_rod(payload_bars compound_j8RNsn).Y,3_rod(payload_bars compound_j8RNsn).Z,3_rod(payload_bars compound_j8RNsn).Euler1,3_rod(payload_bars compound_j8RNsn).Euler2,3_rod(payload_bars compound_j8RNsn).Euler3,3_rod(payload_bars compound_j8RNsn).mass,4_rod(payload_bars compound_j8RNsn).X,4_rod(payload_bars compound_j8RNsn).Y,4_rod(payload_bars compound_j8RNsn).Z,4_rod(payload_bars compound_j8RNsn).Euler1,4_rod(payload_bars compound_j8RNsn).Euler2,4_rod(payload_bars compound_j8RNsn).Euler3,4_rod(payload_bars compound_j8RNsn).mass,5_rod(strut).X,5_rod(strut).Y,5_rod(strut).Z,5_rod(strut).Euler1,5_rod(strut).Euler2,5_rod(strut).Euler3,5_rod(strut).mass,6_rod(strut).X,6_rod(strut).Y,6_rod(strut).Z,6_rod(strut).Euler1,6_rod(strut).Euler2,6_rod(strut).Euler3,6_rod(strut).mass,7_rod(strut).X,7_rod(strut).Y,7_rod(strut).Z,7_rod(strut).Euler1,7_rod(strut).Euler2,7_rod(strut).Euler3,7_rod(strut).mass,8_rod(strut).X,8_rod(strut).Y,8_rod(strut).Z,8_rod(strut).Euler1,8_rod(strut).Euler2,8_rod(strut).Euler3,8_rod(strut).mass,9_rod(strut).X,9_rod(strut).Y,9_rod(strut).Z,9_rod(strut).Euler1,9_rod(strut).Euler2,9_rod(strut).Euler3,9_rod(strut).mass,10_rod(strut).X,10_rod(strut).Y,10_rod(strut).Z,10_rod(strut).Euler1,10_rod(strut).Euler2,10_rod(strut).Euler3,10_rod(strut).mass,
0.1111,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.3831,8.48467,0.00547942,-0.00598119,0.00511413,-3.1358,0.199491,3.36325,8.4415,-0.0171109,-0.000658786,-0.00641547,3.13984,0.199491,0.465352,7.76278,0.382595,-0.00219489,-0.00222985,-1.56689,0.199491,0.842337,11.3951,0.648761,0.00307264,-0.00340872,-1.57968,0.199491,0.744249,9.93677,2.0018,-1.57683,-0.00216602,-0.00325189,0.199645,-0.293242,9.70244,-1.97618,-1.57231,0.00219076,-0.00220109,0.199491,
0.1212,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37743,8.36921,0.00607736,-0.00665214,0.00445417,-3.13516,0.199491,3.3602,8.32674,-0.0191241,-0.000707177,-0.00724519,3.13965,0.199491,0.464913,7.64954,0.382855,-0.00207731,-0.00249227,-1.56642,0.199491,0.841859,11.2784,0.646943,0.00288157,-0.00379644,-1.58073,0.199491,0.740699,9.8211,2.00189,-1.5766,-0.00358393,-0.0036307,0.199645,-0.291392,9.588,-1.9733,-1.57248,0.00349639,-0.00242374,0.199491,
0.1313,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.37176,8.24375,0.00667531,-0.00732393,0.00379464,-3.13452,0.199491,3.35715,8.20197,-0.0211374,-0.000755256,-0.00807492,3.13946,0.199491,0.464475,7.5263,0.383115,-0.00195985,-0.0027548,-1.56596,0.199491,0.841381,11.1518,0.645125,0.0026909,-0.00418456,-1.58178,0.199491,0.737149,9.69542,2.00198,-1.57636,-0.00500174,-0.00400952,0.199645,-0.289542,9.46356,-1.97042,-1.57265,0.00480198,-0.0026464,0.199491,
0.1414,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.36609,8.10827,0.00727326,-0.00799657,0.00313554,-3.13388,0.199491,3.3541,8.0672,-0.0231507,-0.000803021,-0.00890466,3.13927,0.199491,0.464036,7.39306,0.383375,-0.00184252,-0.00301745,-1.56549,0.199491,0.840903,11.0151,0.643307,0.00250065,-0.00457309,-1.58283,0.199491,0.733599,9.55974,2.00207,-1.57612,-0.00641946,-0.00438836,0.199645,-0.287693,9.32911,-1.96753,-1.57282,0.00610753,-0.00286906,0.199491,
0.1515,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.36042,7.96279,0.00787359,-0.00867014,0.00247334,-3.13324,0.199491,3.35105,7.92241,-0.025164,-0.000850474,-0.00973441,3.13908,0.199491,0.463597,7.2498,0.383634,-0.00172531,-0.0032802,-1.56502,0.199491,0.840426,10.8685,0.641488,0.0023108,-0.00496202,-1.58387,0.199491,0.73005,9.41405,2.00215,-1.57589,-0.00783309,-0.0047657,0.199645,-0.285843,9.18465,-1.96465,-1.57299,0.00741304,-0.00309174,0.199491,
0.1616,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.35475,7.80727,0.00848713,-0.00934502,0.00179315,-3.13259,0.199491,3.348,7.76762,-0.0271772,-0.000897614,-0.0105642,3.1389,0.199491,0.463158,7.09654,0.383894,-0.00160822,-0.00354307,-1.56456,0.199491,0.839948,10.7118,0.63967,0.00212137,-0.00535135,-1.58492,0.199491,0.7265,9.25838,2.00223,-1.57566,-0.00922582,-0.00513522,0.199645,-0.283994,9.03018,-1.96176,-1.57316,0.00871852,-0.00331442,0.199491,
0.1717,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34908,7.64174,0.00910066,-0.0100208,0.00111346,-3.13194,0.199491,3.34495,7.60283,-0.0291905,-0.00094444,-0.0113939,3.13871,0.199491,0.46272,6.93327,0.384154,-0.00149125,-0.00380604,-1.56409,0.199491,0.83947,10.5451,0.637852,0.00193234,-0.00574108,-1.58597,0.199491,0.72295,9.09271,2.0023,-1.57544,-0.0106185,-0.00550477,0.199645,-0.282144,8.86571,-1.95888,-1.57333,0.0100239,-0.00353711,0.199491,
0.1818,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.34341,7.46621,0.00971528,-0.0106975,0.000432256,-3.13129,0.199491,3.3419,7.42802,-0.0312038,-0.000990954,-0.0122237,3.13852,0.199491,0.462281,6.76,0.384413,-0.00137441,-0.00406912,-1.56363,0.199491,0.838993,10.3685,0.636034,0.00174373,-0.00613121,-1.58701,0.199491,0.7194,8.91702,2.00237,-1.57522,-0.012009,-0.00587367,0.199645,-0.280294,8.69123,-1.956,-1.5735,0.0113293,-0.00375982,0.199491,
0.1919,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33774,7.28065,0.0103356,-0.0113752,-0.000258197,-3.13064,0.199491,3.33885,7.24321,-0.0332171,-0.00103715,-0.0130535,3.13833,0.199491,0.461842,6.57671,0.384673,-0.00125769,-0.00433232,-1.56316,0.199491,0.838515,10.1818,0.634215,0.00155553,-0.00652175,-1.58806,0.199491,0.715849,8.73135,2.00244,-1.575,-0.0133889,-0.00623917,0.199645,-0.278445,8.50674,-1.95311,-1.57368,0.0126347,-0.00398254,0.199491,
0.202,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.33207,7.08509,0.01096,-0.012054,-0.000955854,-3.12999,0.199491,3.3358,7.04839,-0.0352304,-0.00108304,-0.0138833,3.13814,0.199491,0.461403,6.38342,0.384933,-0.00114109,-0.00459562,-1.56269,0.199491,0.838037,9.98509,0.632397,0.00136774,-0.00691269,-1.58911,0.199491,0.712299,8.53566,2.00251,-1.57478,-0.0147616,-0.00660221,0.199645,-0.276595,8.31224,-1.95023,-1.57385,0.01394,-0.00420527,0.199491,
0.2121,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32638,6.87953,0.0116356,-0.0127455,-0.00176539,-3.12933,0.199491,3.33274,6.84357,-0.0372436,-0.00112862,-0.0147131,3.13795,0.199491,0.46095,6.18013,0.385182,-0.00101669,-0.0048685,-1.56223,0.199491,0.837543,9.77839,0.630594,0.00117167,-0.00729382,-1.59015,0.199491,0.708764,8.32995,2.00251,-1.57455,-0.0160249,-0.00693193,0.199645,-0.274745,8.10774,-1.94734,-1.57403,0.0152453,-0.00442802,0.199491,
0.2222,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.32068,6.66394,0.0123477,-0.0134484,-0.00265807,-3.12867,0.199491,3.32969,6.62874,-0.0392569,-0.00117388,-0.0155429,3.13776,0.199491,0.460453,5.96685,0.385401,-0.000870358,-0.00516779,-1.56178,0.199491,0.837033,9.5617,0.628804,0.00096822,-0.00766627,-1.59119,0.199491,0.705271,8.11423,2.0025,-1.57432,-0.0171955,-0.00725078,0.199645,-0.272896,7.89323,-1.94446,-1.5742,0.0165505,-0.00465079,0.199491,
0.2323,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31523,6.5008,0.0119139,-0.0142179,-0.00362467,-3.12841,0.199491,3.33284,6.50038,-0.0425808,-0.00256132,-0.0447748,3.13744,0.199491,0.461831,5.74451,0.385637,-0.00135379,-0.00569461,-1.56129,0.199491,0.84018,9.34052,0.629417,0.00621452,-0.00795911,-1.59104,0.199491,0.695355,7.90354,1.9952,-1.57245,-0.00416444,-0.00869627,0.199645,-0.274371,7.68504,-1.93424,-1.57133,-0.00155462,-0.00377229,0.199491,
0.2424,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.31392,6.50081,-0.00865733,-0.0144197,-0.00699041,-3.13306,0.199491,3.32369,6.50014,-0.024629,0.000715732,0.0668936,3.14004,0.199491,0.454838,5.65118,0.377068,-0.00186625,-0.0104061,-1.55999,0.199491,0.887198,9.23898,0.632722,0.0623881,-0.0020205,-1.57225,0.199491,0.651972,7.90766,1.96942,-1.58779,0.0160241,-0.0254916,0.199645,-0.263035,7.69428,-1.89568,-1.56983,-0.0114167,-0.00270529,0.199491,
0.2525,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.30925,6.50438,0.0185165,-0.0102987,-0.0738574,-3.12359,0.199491,3.29109,6.501,-0.00855358,0.00869649,0.00780979,-3.13783,0.199491,0.471329,5.81818,0.385033,0.0081635,-0.0121744,-1.5574,0.199491,0.898139,9.2269,0.613623,-0.0645735,0.00277172,-1.54065,0.199491,0.616229,7.92972,2.00985,-1.57957,0.0407685,-0.0227622,0.199645,-0.243201,7.78316,-1.97555,-1.56911,0.00357853,0.00335778,0.199491,
0.2626,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.26089,6.53673,-0.00948117,-0.00577316,0.0410024,-3.11432,0.199491,3.27784,6.55041,0.00455812,0.00365692,-0.0376041,-3.12922,0.199491,0.461108,5.92532,0.366982,0.00571408,-0.0119155,-1.5522,0.199491,0.872572,9.22401,0.609584,0.0484514,-0.00117091,-1.51754,0.199491,0.64788,7.96809,2.00848,-1.56884,0.101805,0.000460931,0.199645,-0.293667,7.82827,-1.94466,-1.56724,0.0242669,-0.0011186,0.199491,
0.2727,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.23534,6.56528,-0.0759257,0.00668657,0.189394,-3.10856,0.199491,3.21938,6.5923,-0.0110695,0.0144983,0.0329159,-3.11476,0.199491,0.458226,5.95477,0.348761,-0.0390336,-0.00739218,-1.53892,0.199491,0.866615,9.23129,0.680349,0.0721284,-0.00218719,-1.52491,0.199491,0.685109,8.022,1.9886,-1.5668,0.00779389,-0.0077872,0.199645,-0.308659,7.87663,-1.90269,-1.56245,-0.0153798,0.00804747,0.199491,
0.2828,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.22502,6.59392,-0.0955627,0.00721248,-0.0844103,-3.09978,0.199491,3.18928,6.61277,-0.0113246,0.0167081,-0.0796079,-3.09913,0.199491,0.496873,6.00147,0.325712,0.0305078,-0.00654264,-1.53027,0.199491,0.836985,9.23708,0.753919,-0.107659,-0.0072754,-1.53393,0.199491,0.691324,8.02357,1.92967,-1.56691,0.044691,-0.0143316,0.199645,-0.323592,7.92289,-1.88181,-1.5599,0.0241798,0.0163036,0.199491,
0.2929,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.23065,6.58436,-0.109263,0.00682436,-0.282447,-3.08596,0.199491,3.157,6.6439,-0.0195359,0.0119545,0.00335738,-3.09181,0.199491,0.500311,6.06974,0.303908,0.0535286,-0.0127941,-1.52209,0.199491,0.83604,9.23282,0.769481,0.0509297,-0.01182,-1.52684,0.199491,0.684317,8.01018,1.9431,-1.56492,0.13889,-0.0130094,0.199645,-0.300643,7.94007,-1.87455,-1.55447,0.124663,0.0178085,0.199491,
0.303,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.21789,6.56015,-0.108616,0.0225644,-0.00484361,-3.07886,0.199491,3.13106,6.65575,-0.0248055,0.013779,0.0880505,-3.08279,0.199491,0.510918,6.10372,0.300448,-0.0337858,-0.0127312,-1.50892,0.199491,0.834177,9.26544,0.74996,0.284556,-0.0314338,-1.51221,0.199491,0.653569,7.9785,1.92807,-1.55962,-0.0242842,-0.0136367,0.199645,-0.284909,7.94686,-1.83935,-1.55339,0.0312195,0.0242728,0.199491,
0.3131,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.18497,6.54419,-0.120581,0.0533835,0.327772,-3.06361,0.199491,3.10935,6.66713,-0.0336879,0.00593129,-0.00672838,-3.07227,0.199491,0.513423,6.10178,0.302154,-0.0797961,-0.0123298,-1.49805,0.199491,0.814648,9.25863,0.772161,-0.16688,-0.00503528,-1.49853,0.199491,0.634566,7.94717,1.91601,-1.55705,-0.0595866,-0.0118761,0.199645,-0.279545,7.96083,-1.8378,-1.55188,-0.040883,0.0220384,0.199491,
0.3232,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.16023,6.52249,-0.143438,0.0560137,0.283832,-3.05418,0.199491,3.10113,6.66054,-0.0521014,-0.000644082,-0.164733,-3.06293,0.199491,0.507789,6.08512,0.289023,-0.0785888,-0.0127489,-1.48271,0.199491,0.804392,9.23319,0.782399,-0.0370722,-0.0162051,-1.4971,0.199491,0.618866,7.9252,1.93849,-1.556,0.20599,-0.011068,0.199645,-0.283949,7.96243,-1.82358,-1.54497,0.16097,0.0246718,0.199491,
0.3333,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.14486,6.49367,-0.154365,0.00984472,-0.234336,-3.04469,0.199491,3.11549,6.64203,-0.0644509,0.0158603,-0.0519293,-3.05534,0.199491,0.499229,6.05888,0.2625,-0.0222236,-0.0199649,-1.47177,0.199491,0.781589,9.19624,0.797902,0.257326,-0.0410364,-1.50281,0.199491,0.596176,7.8893,1.94178,-1.5513,0.13411,-0.00849208,0.199645,-0.279082,7.95804,-1.80003,-1.54294,0.160195,0.0239377,0.199491,
0.3434,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.12744,6.4831,-0.147394,-0.0243462,-0.524567,-3.02928,0.199491,3.11424,6.61954,-0.0762083,0.0315028,0.0733172,-3.04541,0.199491,0.48517,6.00767,0.240199,0.0637146,-0.0330535,-1.46264,0.199491,0.768279,9.15717,0.810236,0.18007,-0.0403084,-1.49269,0.199491,0.575487,7.86327,1.95653,-1.55177,-0.0164234,-0.0059366,0.199645,-0.266071,7.95515,-1.79144,-1.54524,0.0383182,0.0212708,0.199491,
0.3535,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,0,0,0,0,-0,0,0,-4.12146,6.48205,-0.139198,-0.00726507,-0.380547,-3.03433,0.199491,3.11777,6.58338,-0.0897364,0.0107394,-0.0928573,-3.03561,0.199491,0.462928,5.96467,0.220839,0.00478249,-0.0305183,-1.44885,0.199491,0.773416,9.1294,0.823424,0.0364821,-0.0307384,-1.4808,0.199491,0.553378,7.82324,1.97992,-1.5582,0.0651058,-0.00380076,0.199645,-0.261204,7.94183,-1.78705,-1.54658,0.116964,0.0209756,0.199491,
